Datetime,Energy_Consumption,Hour,Day_of_Week,Month,Day,Date,Season,Temperature_F,Temp_Deviation
2012-12-31 01:00:00,1556.0,1,0,12,31,2012-12-31,1,29.84000000000002,-21.789177500608655
2012-12-31 02:00:00,1509.0,2,0,12,31,2012-12-31,1,29.84000000000002,-21.789177500608655
2012-12-31 03:00:00,1479.0,3,0,12,31,2012-12-31,1,29.282000000000018,-22.34717750060866
2012-12-31 04:00:00,1468.0,4,0,12,31,2012-12-31,1,28.88600000000007,-22.743177500608606
2012-12-31 05:00:00,1488.0,5,0,12,31,2012-12-31,1,28.868000000000087,-22.76117750060859
2012-12-31 06:00:00,1543.0,6,0,12,31,2012-12-31,1,26.60899999999999,-25.020177500608686
2012-12-31 07:00:00,1638.0,7,0,12,31,2012-12-31,1,24.35,-27.279177500608675
2012-12-31 08:00:00,1720.0,8,0,12,31,2012-12-31,1,24.35,-27.279177500608675
2012-12-31 09:00:00,1732.0,9,0,12,31,2012-12-31,1,27.752000000000077,-23.8771775006086
2012-12-31 10:00:00,1767.0,10,0,12,31,2012-12-31,1,26.564000000000032,-25.065177500608645
2012-12-31 11:00:00,1780.0,11,0,12,31,2012-12-31,1,26.366000000000007,-25.26317750060867
2012-12-31 12:00:00,1772.0,12,0,12,31,2012-12-31,1,26.078000000000067,-25.55117750060861
2012-12-31 13:00:00,1748.0,13,0,12,31,2012-12-31,1,25.86200000000006,-25.767177500608618
2012-12-31 14:00:00,1753.0,14,0,12,31,2012-12-31,1,26.564000000000032,-25.065177500608645
2012-12-31 15:00:00,1755.0,15,0,12,31,2012-12-31,1,26.99600000000005,-24.633177500608628
2012-12-31 16:00:00,1759.0,16,0,12,31,2012-12-31,1,27.608000000000004,-24.021177500608673
2012-12-31 17:00:00,1799.0,17,0,12,31,2012-12-31,1,26.99600000000005,-24.633177500608628
2012-12-31 18:00:00,1907.0,18,0,12,31,2012-12-31,1,26.99600000000005,-24.633177500608628
2012-12-31 19:00:00,1898.0,19,0,12,31,2012-12-31,1,27.35600000000003,-24.273177500608647
2012-12-31 20:00:00,1863.0,20,0,12,31,2012-12-31,1,26.564000000000032,-25.065177500608645
2012-12-31 21:00:00,1798.0,21,0,12,31,2012-12-31,1,26.366000000000007,-25.26317750060867
2012-12-31 22:00:00,1730.0,22,0,12,31,2012-12-31,1,27.01400000000003,-24.615177500608645
2012-12-31 23:00:00,1672.0,23,0,12,31,2012-12-31,1,26.654000000000053,-24.975177500608623
2013-01-01 00:00:00,1601.0,0,1,1,1,2013-01-01,1,25.10600000000003,-26.523177500608647
2012-12-30 01:00:00,1555.0,1,6,12,30,2012-12-30,1,25.55600000000003,-26.073177500608647
2012-12-30 02:00:00,1512.0,2,6,12,30,2012-12-30,1,26.041999999999994,-25.587177500608682
